ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,City,Type_of_vehicle,Vehicle_condition,multiple_deliveries,Time_taken (min),city_code,order_date,order_time,pickup_time,order_hour,time_taken_min
0xcdcd,DEHRES17DEL01,30.327968,78.046106,30.397968,78.116106,12-02-2022,21:55,22:10,Fog,Jam,Metropolitian,motorcycle,2,3.0,46,DEH,2022-02-12,21:55:00,22:10:00,21.0,46
0xd987,KOCRES16DEL01,10.003064,76.307589,10.043064,76.347589,13-02-2022,14:55,15:05,Stormy,High,Metropolitian,motorcycle,1,1.0,23,KOC,2022-02-13,14:55:00,15:05:00,14.0,23
0x2784,PUNERES13DEL03,18.56245,73.916619,18.65245,74.006619,04-03-2022,17:30,17:40,Sandstorms,Medium,Metropolitian,scooter,1,1.0,21,PUNE,2022-03-04,17:30:00,17:40:00,17.0,21
0xc8b6,LUDHRES15DEL02,30.899584,75.809346,30.919584,75.829346,13-02-2022,09:20,09:30,Sandstorms,Low,Metropolitian,motorcycle,0,0.0,20,LUDH,2022-02-13,09:20:00,09:30:00,9.0,20
0xdb64,KNPRES14DEL02,26.463504,80.372929,26.593504,80.502929,14-02-2022,19:50,20:05,Fog,Jam,Metropolitian,scooter,1,1.0,41,KNP,2022-02-14,19:50:00,20:05:00,19.0,41
0x3af3,MUMRES15DEL03,19.176269,72.836721,19.266269,72.926721,02-04-2022,20:25,20:35,Sandstorms,Jam,Metropolitian,electric_scooter,2,1.0,20,MUM,2022-04-02,20:25:00,20:35:00,20.0,20
0x3aab,MYSRES01DEL01,12.311072,76.654878,12.351072,76.694878,01-03-2022,14:55,15:10,Windy,High,Metropolitian,scooter,1,1.0,33,MYS,2022-03-01,14:55:00,15:10:00,14.0,33
0x689b,PUNERES20DEL01,18.592718,73.773572,18.702718,73.883572,16-03-2022,20:30,20:40,Sandstorms,Jam,Metropolitian,motorcycle,2,1.0,40,PUNE,2022-03-16,20:30:00,20:40:00,20.0,40
0x6f67,HYDRES14DEL01,17.426228,78.407495,17.496228,78.477495,20-03-2022,20:40,20:50,Cloudy,Jam,Metropolitian,motorcycle,0,,41,HYD,2022-03-20,20:40:00,20:50:00,20.0,41
0xc9cf,KOLRES15DEL03,22.552672,88.352885,22.582672,88.382885,15-02-2022,21:15,21:30,Windy,Jam,Urban,motorcycle,0,1.0,15,KOL,2022-02-15,21:15:00,21:30:00,21.0,15
0x36b8,PUNERES19DEL02,18.563934,73.915367,18.643935,73.995367,16-03-2022,20:20,20:25,Sandstorms,Jam,Metropolitian,motorcycle,0,2.0,36,PUNE,2022-03-16,20:20:00,20:25:00,20.0,36
0x5795,RANCHIRES06DEL02,23.357804,85.325146,23.487804,85.455146,10-03-2022,22:30,22:45,Sandstorms,Low,Metropolitian,electric_scooter,2,0.0,26,RANCHI,2022-03-10,22:30:00,22:45:00,22.0,26
0x6c6b,COIMBRES13DEL01,11.003669,76.976494,11.013669,76.986494,11-03-2022,08:15,08:30,Sandstorms,Low,Metropolitian,motorcycle,1,1.0,20,COIMB,2022-03-11,08:15:00,08:30:00,8.0,20
0xb816,CHENRES19DEL02,12.986047,80.218114,13.116047,80.348114,27-03-2022,19:30,19:45,Windy,Jam,Metropolitian,scooter,2,1.0,39,CHEN,2022-03-27,19:30:00,19:45:00,19.0,39
0x539b,MUMRES02DEL01,19.221315,72.862381,19.261315,72.902381,26-03-2022,12:25,12:30,Cloudy,High,Metropolitian,motorcycle,1,1.0,34,MUM,2022-03-26,12:25:00,12:30:00,12.0,34
0xa1b2,CHENRES01DEL01,13.005801,80.250744,13.115801,80.360744,27-03-2022,18:35,18:50,Sunny,Medium,Metropolitian,electric_scooter,2,1.0,15,CHEN,2022-03-27,18:35:00,18:50:00,18.0,15
0x3231,JAPRES16DEL03,26.849596,75.800512,26.879596,75.830512,05-04-2022,20:35,20:40,Stormy,Jam,Urban,motorcycle,0,0.0,18,JAP,2022-04-05,20:35:00,20:40:00,20.0,18
0x8bc0,SURRES15DEL03,21.160522,72.771477,21.250522,72.861477,12-03-2022,23:20,23:30,Cloudy,Low,Metropolitian,scooter,1,0.0,38,SUR,2022-03-12,23:20:00,23:30:00,23.0,38
0x2288,BANGRES09DEL03,12.934179,77.615797,13.024179,77.705797,16-03-2022,21:20,21:35,Windy,Jam,Metropolitian,motorcycle,0,1.0,47,BANG,2022-03-16,21:20:00,21:35:00,21.0,47
0x3c5e,PUNERES04DEL01,18.51421,73.838429,18.62421,73.948429,02-04-2022,23:35,23:45,Windy,Low,Urban,electric_scooter,2,0.0,12,PUNE,2022-04-02,23:35:00,23:45:00,23.0,12
0x3e60,COIMBRES02DEL03,11.022477,76.995667,11.052477,77.025667,01-04-2022,22:35,22:50,Sandstorms,Low,Metropolitian,motorcycle,2,1.0,26,COIMB,2022-04-01,22:35:00,22:50:00,22.0,26
0xbff,SURRES16DEL02,21.160437,72.774209,21.210437,72.824209,05-03-2022,22:35,22:40,Stormy,Low,Urban,motorcycle,0,1.0,22,SUR,2022-03-05,22:35:00,22:40:00,22.0,22
0xd936,GOARES15DEL02,15.51315,73.78346,15.56315,73.83346,11-02-2022,23:25,23:35,Sandstorms,Low,Urban,motorcycle,0,0.0,21,GOA,2022-02-11,23:25:00,23:35:00,23.0,21
0xd681,GOARES07DEL01,15.561295,73.749478,15.601295,73.789478,11-02-2022,13:35,13:40,Cloudy,High,Urban,scooter,1,1.0,25,GOA,2022-02-11,13:35:00,13:40:00,13.0,25
0x30c8,PUNERES19DEL02,18.563934,73.915367,18.693935,74.045367,02-04-2022,22:35,22:45,Cloudy,Low,Metropolitian,scooter,2,1.0,30,PUNE,2022-04-02,22:35:00,22:45:00,22.0,30
0xb843,PUNERES02DEL01,18.55144,73.804855,18.62144,73.874855,08-03-2022,18:55,19:10,Sunny,Medium,Metropolitian,motorcycle,1,1.0,22,PUNE,2022-03-08,18:55:00,19:10:00,18.0,22
0xb3a0,PUNERES18DEL01,18.593481,73.785901,18.633481,73.825901,03-04-2022,14:15,14:25,Windy,High,Urban,scooter,1,0.0,10,PUNE,2022-04-03,14:15:00,14:25:00,14.0,10
0x4bda,HYDRES17DEL02,17.451976,78.385883,17.471976,78.405883,01-04-2022,09:45,09:55,Sunny,Low,Urban,scooter,2,1.0,11,HYD,2022-04-01,09:45:00,09:55:00,9.0,11
0x9d26,BANGRES17DEL02,12.972532,77.608179,12.992532,77.628179,28-03-2022,08:40,08:55,Stormy,Low,Metropolitian,scooter,2,0.0,11,BANG,2022-03-28,08:40:00,08:55:00,8.0,11
0x5d99,CHENRES11DEL01,13.064181,80.236442,13.134181,80.306442,14-03-2022,17:25,17:30,Cloudy,Medium,Metropolitian,motorcycle,1,1.0,33,CHEN,2022-03-14,17:25:00,17:30:00,17.0,33
0xb796,SURRES17DEL03,21.149569,72.772697,21.239569,72.862697,04-04-2022,19:45,19:50,Sandstorms,Jam,Metropolitian,motorcycle,0,3.0,52,SUR,2022-04-04,19:45:00,19:50:00,19.0,52
0x85b4,MUMRES07DEL01,19.091458,72.827808,19.201458,72.937808,08-03-2022,19:10,19:25,Stormy,Jam,Metropolitian,scooter,1,1.0,22,MUM,2022-03-08,19:10:00,19:25:00,19.0,22
0xc644,KOLRES16DEL02,22.539129,88.365507,22.559129,88.385507,13-02-2022,10:55,0.458333333,Fog,Low,Urban,scooter,1,1.0,16,KOL,2022-02-13,10:55:00,,10.0,16
0x6999,MUMRES02DEL03,19.221315,72.862381,19.281315,72.922381,24-03-2022,21:40,21:45,Sunny,Jam,Metropolitian,electric_scooter,2,0.0,11,MUM,2022-03-24,21:40:00,21:45:00,21.0,11
0xa30b,CHENRES11DEL01,13.064181,80.236442,13.104181,80.276442,09-03-2022,16:45,16:55,Cloudy,Medium,Urban,motorcycle,0,1.0,26,CHEN,2022-03-09,16:45:00,16:55:00,16.0,26
0x3556,SURRES09DEL01,21.175975,72.795503,21.185975,72.805503,19-03-2022,11:30,11:40,Sunny,High,Metropolitian,scooter,2,1.0,18,SUR,2022-03-19,11:30:00,11:40:00,11.0,18
0x5554,RANCHIRES15DEL01,23.369746,85.33982,23.409746,85.37982,03-04-2022,15:10,15:15,Fog,Medium,Metropolitian,motorcycle,1,1.0,16,RANCHI,2022-04-03,15:10:00,15:15:00,15.0,16
0x25fd,BANGRES19DEL01,12.914264,77.6784,13.024264,77.7884,25-03-2022,22:45,22:55,Stormy,Low,Metropolitian,scooter,2,1.0,23,BANG,2022-03-25,22:45:00,22:55:00,22.0,23
