scenario_order_id,ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,City,Type_of_vehicle,Vehicle_condition,multiple_deliveries,Time_taken (min),city_code,order_date,order_time,pickup_time,order_hour,time_taken_min
1,0x8397,JAPRES06DEL03,26.911927,75.797282,27.051927,75.937282,02-04-2022,17:10,17:25,Windy,Medium,Metropolitian,scooter,2,0.0,29,JAP,2022-04-02,17:10:00,17:25:00,17.0,29
2,0x1cb2,JAPRES16DEL01,26.849596,75.800512,26.919596,75.870512,02-04-2022,17:15,17:30,Sandstorms,Medium,Metropolitian,scooter,2,2.0,34,JAP,2022-04-02,17:15:00,17:30:00,17.0,34
3,0x648f,JAPRES20DEL01,26.956431,75.776649,27.066431,75.886649,02-04-2022,17:25,17:30,Windy,Medium,Metropolitian,motorcycle,1,1.0,26,JAP,2022-04-02,17:25:00,17:30:00,17.0,26
4,0x21ae,JAPRES20DEL02,26.956431,75.776649,27.086431,75.906649,02-04-2022,17:35,17:50,Fog,Medium,Metropolitian,motorcycle,0,1.0,46,JAP,2022-04-02,17:35:00,17:50:00,17.0,46
5,0xa789,JAPRES010DEL02,26.921411,75.793604,27.001411,75.873604,02-04-2022,17:40,17:45,Stormy,Medium,Metropolitian,motorcycle,1,0.0,27,JAP,2022-04-02,17:40:00,17:45:00,17.0,27
6,0x1044,JAPRES09DEL02,26.911378,75.789034,27.041378,75.919034,02-04-2022,17:55,18:05,Stormy,Medium,Metropolitian,scooter,1,1.0,27,JAP,2022-04-02,17:55:00,18:05:00,17.0,27
7,0x4567,JAPRES17DEL02,26.892312,75.806896,27.022313,75.936896,02-04-2022,17:55,18:10,Stormy,Medium,Urban,scooter,2,1.0,22,JAP,2022-04-02,17:55:00,18:10:00,17.0,22
8,0xadef,JAPRES03DEL03,26.913483,75.803139,27.053483,75.943139,02-04-2022,17:55,0.75,Stormy,Medium,Urban,motorcycle,2,1.0,24,JAP,2022-04-02,17:55:00,,17.0,24
9,0x62d9,JAPRES17DEL03,26.892312,75.806896,27.032312,75.946896,02-04-2022,18:10,18:20,Fog,Medium,Metropolitian,motorcycle,0,1.0,32,JAP,2022-04-02,18:10:00,18:20:00,18.0,32
10,0x7b62,JAPRES12DEL01,26.902908,75.792934,27.012908,75.902934,02-04-2022,18:10,18:15,Sunny,Medium,Metropolitian,motorcycle,1,0.0,18,JAP,2022-04-02,18:10:00,18:15:00,18.0,18
11,0xab47,JAPRES04DEL01,26.902328,75.794257,27.012328,75.904257,02-04-2022,18:10,18:25,Stormy,Medium,Metropolitian,motorcycle,0,1.0,32,JAP,2022-04-02,18:10:00,18:25:00,18.0,32
12,0x1d37,JAPRES17DEL03,26.892312,75.806896,26.982312,75.896896,02-04-2022,18:20,18:35,Windy,Medium,Metropolitian,motorcycle,2,,39,JAP,2022-04-02,18:20:00,18:35:00,18.0,39
13,0x36a4,JAPRES15DEL01,26.891191,75.802083,26.961191,75.872083,02-04-2022,18:25,18:35,Stormy,Medium,Metropolitian,motorcycle,0,1.0,37,JAP,2022-04-02,18:25:00,18:35:00,18.0,37
