scenario_order_id,ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,City,Type_of_vehicle,Vehicle_condition,multiple_deliveries,Time_taken (min),city_code,order_date,order_time,pickup_time,order_hour,time_taken_min
1,0x3dc2,HYDRES02DEL02,17.41233,78.449654,17.49233,78.529654,18-03-2022,17:20,17:35,Fog,Medium,Metropolitian,motorcycle,0,1.0,34,HYD,2022-03-18,17:20:00,17:35:00,17.0,34
2,0x94c5,HYDRES04DEL02,17.411028,78.329645,17.491028,78.409645,18-03-2022,17:25,17:40,Cloudy,Medium,Metropolitian,motorcycle,0,1.0,44,HYD,2022-03-18,17:25:00,17:40:00,17.0,44
3,0x40cf,HYDRES03DEL03,17.422819,78.449578,17.512819,78.539578,18-03-2022,17:30,17:35,Cloudy,Medium,Metropolitian,scooter,1,1.0,36,HYD,2022-03-18,17:30:00,17:35:00,17.0,36
4,0x12ec,HYDRES19DEL03,17.458998,78.500366,17.548998,78.590366,18-03-2022,17:45,17:55,Windy,Medium,Metropolitian,motorcycle,2,1.0,15,HYD,2022-03-18,17:45:00,17:55:00,17.0,15
5,0xb357,HYDRES07DEL01,17.424114,78.347554,17.534114,78.457554,18-03-2022,17:50,17:55,Cloudy,Medium,Metropolitian,motorcycle,0,0.0,40,HYD,2022-03-18,17:50:00,17:55:00,17.0,40
6,0x9384,HYDRES15DEL01,17.45971,78.368855,17.52971,78.438855,18-03-2022,18:15,18:30,Sunny,Medium,Metropolitian,motorcycle,2,1.0,16,HYD,2022-03-18,18:15:00,18:30:00,18.0,16
7,0x5a2f,HYDRES12DEL02,17.429585,78.392621,17.559585,78.522621,18-03-2022,18:20,18:30,Sunny,Medium,Metropolitian,motorcycle,1,0.0,15,HYD,2022-03-18,18:20:00,18:30:00,18.0,15
8,0x4625,HYDRES04DEL01,17.411028,78.329645,17.481028,78.399645,18-03-2022,18:35,18:40,Cloudy,Medium,Urban,motorcycle,0,0.0,44,HYD,2022-03-18,18:35:00,18:40:00,18.0,44
9,0x5b6b,HYDRES18DEL01,17.450851,78.379347,17.560851,78.489347,18-03-2022,18:35,18:40,Cloudy,Medium,Metropolitian,motorcycle,1,1.0,33,HYD,2022-03-18,18:35:00,18:40:00,18.0,33
10,0x4f3d,HYDRES01DEL03,17.410371,78.437225,17.500371,78.527225,18-03-2022,18:55,0.791666667,Sandstorms,Medium,Metropolitian,scooter,1,1.0,19,HYD,2022-03-18,18:55:00,,18.0,19
11,0x7104,HYDRES14DEL01,17.426228,78.407495,17.496228,78.477495,18-03-2022,18:55,19:10,Fog,Medium,Urban,electric_scooter,2,1.0,40,HYD,2022-03-18,18:55:00,19:10:00,18.0,40
12,0x9813,HYDRES11DEL02,17.430448,78.418213,17.560448,78.548213,18-03-2022,18:55,0.791666667,Fog,Medium,Metropolitian,motorcycle,1,1.0,32,HYD,2022-03-18,18:55:00,,18.0,32
13,0x9978,HYDRES18DEL03,17.450851,78.379347,17.540851,78.469347,18-03-2022,18:55,19:10,Cloudy,Medium,Metropolitian,motorcycle,1,1.0,30,HYD,2022-03-18,18:55:00,19:10:00,18.0,30
14,0x5574,HYDRES01DEL02,17.410371,78.437225,17.540371,78.567225,18-03-2022,19:15,19:25,Sandstorms,Jam,Metropolitian,motorcycle,0,1.0,38,HYD,2022-03-18,19:15:00,19:25:00,19.0,38
15,0x21f4,HYDRES010DEL02,17.428294,78.404423,17.558294,78.534423,18-03-2022,19:20,19:25,Sandstorms,Jam,Metropolitian,motorcycle,0,1.0,37,HYD,2022-03-18,19:20:00,19:25:00,19.0,37
16,0x38b2,HYDRES12DEL03,17.429585,78.392621,17.519585,78.482621,18-03-2022,19:20,19:25,Cloudy,Jam,Metropolitian,motorcycle,1,3.0,48,HYD,2022-03-18,19:20:00,19:25:00,19.0,48
17,0x894f,HYDRES13DEL03,17.431477,78.40035,17.521477,78.49035,18-03-2022,19:20,19:25,Windy,Jam,Metropolitian,motorcycle,1,0.0,26,HYD,2022-03-18,19:20:00,19:25:00,19.0,26
18,0x6381,HYDRES010DEL03,17.428294,78.404423,17.518294,78.494423,18-03-2022,19:25,19:40,Windy,Jam,Urban,scooter,1,0.0,25,HYD,2022-03-18,19:25:00,19:40:00,19.0,25
19,0x7f90,HYDRES01DEL01,17.410371,78.437225,17.480371,78.507225,18-03-2022,19:25,19:40,Sandstorms,Jam,Urban,motorcycle,1,1.0,34,HYD,2022-03-18,19:25:00,19:40:00,19.0,34
20,0x3d56,HYDRES18DEL01,17.450851,78.379347,17.520851,78.449347,18-03-2022,19:35,19:50,Fog,Jam,Metropolitian,motorcycle,1,1.0,33,HYD,2022-03-18,19:35:00,19:50:00,19.0,33
21,0x6418,HYDRES15DEL02,17.45971,78.368855,17.53971,78.448855,18-03-2022,19:40,19:45,Windy,Jam,Metropolitian,motorcycle,0,3.0,48,HYD,2022-03-18,19:40:00,19:45:00,19.0,48
22,0x9afc,HYDRES14DEL01,17.426228,78.407495,17.536228,78.517495,18-03-2022,19:45,0.833333333,Windy,Jam,Metropolitian,motorcycle,0,2.0,35,HYD,2022-03-18,19:45:00,,19.0,35
23,0xbee0,HYDRES17DEL01,17.451976,78.385883,17.561976,78.495883,18-03-2022,20:15,20:30,Windy,Jam,Metropolitian,motorcycle,1,3.0,43,HYD,2022-03-18,20:15:00,20:30:00,20.0,43
24,0x3a24,HYDRES19DEL01,17.458998,78.500366,17.528998,78.570366,18-03-2022,20:20,20:35,Fog,Jam,Metropolitian,motorcycle,1,1.0,31,HYD,2022-03-18,20:20:00,20:35:00,20.0,31
