scenario_order_id,ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,City,Type_of_vehicle,Vehicle_condition,multiple_deliveries,Time_taken (min),city_code,order_date,order_time,pickup_time,order_hour,time_taken_min
1,0x7b07,MUMRES07DEL01,19.091458,72.827808,19.161458,72.897808,02-03-2022,17:10,17:25,Windy,Medium,Metropolitian,electric_scooter,2,1.0,32,MUM,2022-03-02,17:10:00,17:25:00,17.0,32
2,0x9a63,MUMRES01DEL01,19.12663,72.829976,19.19663,72.899976,02-03-2022,17:10,17:15,Windy,Medium,Metropolitian,motorcycle,1,1.0,22,MUM,2022-03-02,17:10:00,17:15:00,17.0,22
3,0x44b1,MUMRES010DEL01,19.003517,72.82765,19.073517,72.89765,02-03-2022,17:40,17:50,Windy,Medium,Metropolitian,electric_scooter,2,1.0,18,MUM,2022-03-02,17:40:00,17:50:00,17.0,18
4,0x7b95,MUMRES05DEL01,18.927584,72.832585,19.037584,72.942585,02-03-2022,17:55,18:05,Sandstorms,Medium,Metropolitian,motorcycle,0,1.0,46,MUM,2022-03-02,17:55:00,18:05:00,17.0,46
5,0x3cac,MUMRES14DEL02,19.1813,72.836191,19.2613,72.916191,02-03-2022,18:15,18:30,Stormy,Medium,Urban,motorcycle,0,1.0,23,MUM,2022-03-02,18:15:00,18:30:00,18.0,23
6,0xb881,MUMRES08DEL02,19.065838,72.832658,19.145838,72.912658,02-03-2022,18:30,18:35,Sandstorms,Medium,Metropolitian,scooter,1,0.0,39,MUM,2022-03-02,18:30:00,18:35:00,18.0,39
7,0x3ec1,MUMRES08DEL02,19.065838,72.832658,19.195838,72.962658,02-03-2022,18:35,18:50,Stormy,Medium,Metropolitian,motorcycle,0,0.0,32,MUM,2022-03-02,18:35:00,18:50:00,18.0,32
8,0x3ec4,MUMRES09DEL01,18.994049,72.825203,19.064049,72.895203,02-03-2022,18:40,18:45,Sandstorms,Medium,Metropolitian,scooter,1,1.0,25,MUM,2022-03-02,18:40:00,18:45:00,18.0,25
9,0x82eb,MUMRES16DEL01,19.120083,72.907385,19.230083,73.017385,02-03-2022,18:40,18:50,Sandstorms,Medium,Metropolitian,motorcycle,0,1.0,28,MUM,2022-03-02,18:40:00,18:50:00,18.0,28
10,0x73bb,MUMRES20DEL01,19.103249,72.846749,19.173249,72.916749,02-03-2022,18:50,18:55,Cloudy,Medium,Metropolitian,scooter,2,1.0,38,MUM,2022-03-02,18:50:00,18:55:00,18.0,38
11,0xa3d0,MUMRES17DEL01,19.121999,72.908493,19.191999,72.978493,02-03-2022,18:50,18:55,Sunny,Medium,Urban,scooter,1,0.0,13,MUM,2022-03-02,18:50:00,18:55:00,18.0,13
12,0x5464,MUMRES20DEL01,19.103249,72.846749,19.213249,72.956749,02-03-2022,19:10,19:20,Sunny,Jam,Metropolitian,motorcycle,1,1.0,21,MUM,2022-03-02,19:10:00,19:20:00,19.0,21
13,0xae48,MUMRES18DEL01,19.1093,72.825451,19.2193,72.935451,02-03-2022,19:25,19:35,Cloudy,Jam,Metropolitian,motorcycle,0,2.0,40,MUM,2022-03-02,19:25:00,19:35:00,19.0,40
14,0x1a63,MUMRES06DEL02,19.055831,72.833984,19.185831,72.963984,02-03-2022,19:45,19:55,Windy,Jam,Metropolitian,motorcycle,0,1.0,39,MUM,2022-03-02,19:45:00,19:55:00,19.0,39
15,0xa419,MUMRES15DEL02,19.176269,72.836721,19.256269,72.916721,02-03-2022,19:45,0.833333333,Fog,Jam,Metropolitian,motorcycle,0,1.0,35,MUM,2022-03-02,19:45:00,,19.0,35
16,0x6d04,MUMRES18DEL02,19.1093,72.825451,19.2393,72.955451,02-03-2022,20:10,20:20,Windy,Jam,Urban,motorcycle,2,0.0,28,MUM,2022-03-02,20:10:00,20:20:00,20.0,28
17,0x8fd6,MUMRES15DEL02,19.176269,72.836721,19.306269,72.966721,02-03-2022,20:10,20:20,Cloudy,Jam,Metropolitian,motorcycle,0,1.0,37,MUM,2022-03-02,20:10:00,20:20:00,20.0,37
18,0xda4,MUMRES07DEL01,19.091458,72.827808,19.201458,72.937808,02-03-2022,20:25,20:30,Stormy,Jam,Metropolitian,motorcycle,0,1.0,39,MUM,2022-03-02,20:25:00,20:30:00,20.0,39
19,0x95cd,MUMRES02DEL02,19.221315,72.862381,19.301315,72.942381,02-03-2022,20:40,20:50,Sunny,Jam,Metropolitian,scooter,2,1.0,18,MUM,2022-03-02,20:40:00,20:50:00,20.0,18
20,0x1ae4,MUMRES09DEL01,18.994049,72.825203,19.104049,72.935203,02-03-2022,20:50,20:55,Sunny,Jam,Metropolitian,motorcycle,0,1.0,25,MUM,2022-03-02,20:50:00,20:55:00,20.0,25
21,0x380e,MUMRES01DEL02,19.12663,72.829976,19.20663,72.909976,02-03-2022,20:50,0.875,Cloudy,Jam,Metropolitian,motorcycle,0,1.0,44,MUM,2022-03-02,20:50:00,,20.0,44
22,0x22c9,MUMRES11DEL01,18.994237,72.825553,19.064237,72.895553,02-03-2022,21:15,21:25,Cloudy,Jam,Metropolitian,motorcycle,0,1.0,45,MUM,2022-03-02,21:15:00,21:25:00,21.0,45
23,0x1306,MUMRES09DEL02,18.994049,72.825203,19.124049,72.955203,02-03-2022,21:20,21:25,Sandstorms,Jam,Metropolitian,scooter,2,1.0,23,MUM,2022-03-02,21:20:00,21:25:00,21.0,23
24,0x2263,MUMRES18DEL01,19.1093,72.825451,19.1793,72.895451,02-03-2022,21:25,21:35,Sandstorms,Jam,Metropolitian,motorcycle,1,1.0,17,MUM,2022-03-02,21:25:00,21:35:00,21.0,17
25,0x4451,MUMRES11DEL02,18.994237,72.825553,19.124237,72.955553,02-03-2022,21:30,21:45,Cloudy,Jam,Semi-Urban,motorcycle,0,0.0,48,MUM,2022-03-02,21:30:00,21:45:00,21.0,48
26,0x8df7,MUMRES05DEL03,18.927584,72.832585,19.017584,72.922585,02-03-2022,21:30,21:35,Stormy,Jam,Metropolitian,motorcycle,0,1.0,37,MUM,2022-03-02,21:30:00,21:35:00,21.0,37
27,0x550e,MUMRES06DEL02,19.055831,72.833984,19.135831,72.913984,02-03-2022,21:35,21:40,Fog,Jam,Urban,motorcycle,1,1.0,34,MUM,2022-03-02,21:35:00,21:40:00,21.0,34
28,0xa705,MUMRES08DEL01,19.065838,72.832658,19.175838,72.942658,02-03-2022,22:15,22:30,Cloudy,Low,Metropolitian,motorcycle,0,0.0,20,MUM,2022-03-02,22:15:00,22:30:00,22.0,20
29,0xa37e,MUMRES12DEL03,19.207222,72.972281,19.297222,73.062281,02-03-2022,22:20,22:25,Sunny,Low,Metropolitian,scooter,2,1.0,31,MUM,2022-03-02,22:20:00,22:25:00,22.0,31
30,0x81f4,MUMRES04DEL01,19.254567,72.848923,19.364567,72.958923,02-03-2022,22:30,22:45,Fog,Low,Metropolitian,motorcycle,1,1.0,26,MUM,2022-03-02,22:30:00,22:45:00,22.0,26
