scenario,method,rider,route_position,scenario_order_id,delivery_latitude,delivery_longitude,order_time,traffic_density,weather_condition
Jaipur,Balanced Geo + NN + 2-opt,1,1,2,26.919596,75.870512,17:15,Medium,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,1,2,13,26.961191,75.872083,18:25,Medium,Stormy
Jaipur,Balanced Geo + NN + 2-opt,1,3,43,26.96842,75.880689,23:20,Low,Stormy
Jaipur,Balanced Geo + NN + 2-opt,1,4,12,26.982312,75.896896,18:20,Medium,Windy
Jaipur,Balanced Geo + NN + 2-opt,1,5,17,26.959596,75.910512,18:45,Medium,Stormy
Jaipur,Balanced Geo + NN + 2-opt,1,6,48,26.976156,75.9323,23:35,Low,Cloudy
Jaipur,Balanced Geo + NN + 2-opt,1,7,45,26.989596,75.940512,23:25,Low,Fog
Jaipur,Balanced Geo + NN + 2-opt,1,8,15,26.906536,75.977333,18:35,Medium,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,1,9,36,26.896536,75.967333,22:20,Low,Fog
Jaipur,Balanced Geo + NN + 2-opt,1,10,26,26.846536,75.917333,19:55,Jam,Cloudy
Jaipur,Balanced Geo + NN + 2-opt,2,1,16,26.971191,75.882083,18:40,Medium,Windy
Jaipur,Balanced Geo + NN + 2-opt,2,2,32,26.97519,75.880753,21:15,Jam,Sunny
Jaipur,Balanced Geo + NN + 2-opt,2,3,50,26.99519,75.900753,23:55,Low,Fog
Jaipur,Balanced Geo + NN + 2-opt,2,4,27,26.99842,75.910689,19:55,Jam,Stormy
Jaipur,Balanced Geo + NN + 2-opt,2,5,25,27.002312,75.916896,19:55,Jam,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,2,6,35,27.021191,75.932083,21:50,Jam,Windy
Jaipur,Balanced Geo + NN + 2-opt,2,7,7,27.022313,75.936896,17:55,Medium,Stormy
Jaipur,Balanced Geo + NN + 2-opt,2,8,47,27.02842,75.940689,23:30,Low,Cloudy
Jaipur,Balanced Geo + NN + 2-opt,2,9,9,27.032312,75.946896,18:10,Medium,Fog
Jaipur,Balanced Geo + NN + 2-opt,2,10,30,27.042328,75.934257,20:30,Jam,Sunny
Jaipur,Balanced Geo + NN + 2-opt,3,1,22,26.992328,75.884257,19:35,Jam,Stormy
Jaipur,Balanced Geo + NN + 2-opt,3,2,14,26.994142,75.885704,18:30,Medium,Cloudy
Jaipur,Balanced Geo + NN + 2-opt,3,3,10,27.012908,75.902934,18:10,Medium,Sunny
Jaipur,Balanced Geo + NN + 2-opt,3,4,24,27.01294,75.903007,19:45,Jam,Cloudy
Jaipur,Balanced Geo + NN + 2-opt,3,5,11,27.012328,75.904257,18:10,Medium,Stormy
Jaipur,Balanced Geo + NN + 2-opt,3,6,33,27.015287,75.904592,21:25,Jam,Stormy
Jaipur,Balanced Geo + NN + 2-opt,3,7,28,27.023483,75.913139,20:15,Jam,Cloudy
Jaipur,Balanced Geo + NN + 2-opt,3,8,41,27.03294,75.923007,23:10,Low,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,3,9,1,27.051927,75.937282,17:10,Medium,Windy
Jaipur,Balanced Geo + NN + 2-opt,3,10,8,27.053483,75.943139,17:55,Medium,Stormy
Jaipur,Balanced Geo + NN + 2-opt,4,1,42,26.975287,75.864592,23:20,Low,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,4,2,34,26.981927,75.867282,21:25,Jam,Windy
Jaipur,Balanced Geo + NN + 2-opt,4,3,19,26.982328,75.874257,19:20,Jam,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,4,4,39,26.985287,75.874592,22:45,Low,Fog
Jaipur,Balanced Geo + NN + 2-opt,4,5,40,26.992908,75.882934,22:50,Low,Sunny
Jaipur,Balanced Geo + NN + 2-opt,4,6,44,26.995287,75.884592,23:25,Low,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,4,7,31,27.001378,75.879034,21:15,Jam,Windy
Jaipur,Balanced Geo + NN + 2-opt,4,8,23,27.003483,75.893139,19:35,Jam,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,4,9,6,27.041378,75.919034,17:55,Medium,Stormy
Jaipur,Balanced Geo + NN + 2-opt,4,10,20,27.051378,75.929034,19:25,Jam,Fog
Jaipur,Balanced Geo + NN + 2-opt,5,1,29,27.003987,75.842891,20:20,Jam,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,5,2,18,27.000262,75.873013,18:50,Medium,Sunny
Jaipur,Balanced Geo + NN + 2-opt,5,3,5,27.001411,75.873604,17:40,Medium,Stormy
Jaipur,Balanced Geo + NN + 2-opt,5,4,49,27.011411,75.883604,23:50,Low,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,5,5,46,27.023987,75.862891,23:30,Low,Fog
Jaipur,Balanced Geo + NN + 2-opt,5,6,38,27.026431,75.846649,22:35,Low,Fog
Jaipur,Balanced Geo + NN + 2-opt,5,7,21,27.043726,75.88282,19:35,Jam,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,5,8,37,27.053987,75.892891,22:20,Low,Sandstorms
Jaipur,Balanced Geo + NN + 2-opt,5,9,3,27.066431,75.886649,17:25,Medium,Windy
Jaipur,Balanced Geo + NN + 2-opt,5,10,4,27.086431,75.906649,17:35,Medium,Fog
