scenario,seed,total_distance_km,estimated_total_time_min,improvement_vs_original_pct
Jaipur,6101,446.823,1584.562,5.442
Jaipur,6102,427.224,1533.472,9.589
Jaipur,6103,442.788,1578.028,6.296
Jaipur,6104,419.328,1500.242,11.26
Jaipur,6105,458.617,1678.695,2.946
Jaipur,6106,514.278,1849.544,-8.833
Jaipur,6107,421.128,1531.98,10.879
Jaipur,6108,444.816,1620.757,5.866
Jaipur,6109,455.733,1690.376,3.556
Jaipur,6110,491.743,1810.781,-4.064
Mumbai,6101,782.782,2735.797,-1.899
Mumbai,6102,792.225,2706.759,-3.129
Mumbai,6103,775.74,2629.427,-0.983
Mumbai,6104,693.944,2483.369,9.665
Mumbai,6105,778.58,2753.503,-1.352
Mumbai,6106,746.935,2634.713,2.767
Mumbai,6107,700.396,2362.079,8.825
Mumbai,6108,658.872,2283.823,14.231
Mumbai,6109,712.014,2342.823,7.313
Mumbai,6110,760.174,2662.53,1.044
Hyderabad,6101,536.041,2000.71,6.246
Hyderabad,6102,526.576,2000.821,7.901
Hyderabad,6103,548.027,2077.974,4.15
Hyderabad,6104,456.989,1740.961,20.072
Hyderabad,6105,529.452,1976.364,7.399
Hyderabad,6106,506.854,1785.939,11.351
Hyderabad,6107,493.022,1847.76,13.77
Hyderabad,6108,479.001,1785.613,16.222
Hyderabad,6109,580.728,2141.747,-1.57
Hyderabad,6110,540.408,1951.598,5.482
